code,lat,lon
WEMBLSM,51.554242306292196,-0.2849512054434494
BEREALS,50.485680803234374,-4.19992152008985
HORSUKF,51.068935017924396,-0.31823770448489425
KNTSHTW,51.54692547119558,-0.1467698933060015
KNTSHTJ,51.55040812537692,-0.13954628937091498
KNTSHTN,51.55040812537692,-0.13954628937091498
LMNG113,52.284510713038586,-1.5372359412088643
PERTBAL,56.40964304217744,-3.4541854752906436
SLCT,55.63389084104199,-4.784640588230167
THATCHM,51.393882726271855,-1.2424563536483892
HRLWMLY,51.78943504780986,0.1284646231053085
CARLCWL,54.9219741690368,-2.9602071413640343
MOSEDFH,55.825422140546294,-4.00021928111175
ACTRNED,57.602778598463296,-4.5286588556626315
EDPK,51.390686560096384,-0.027119997996775967
LMNG126,52.284510713038586,-1.5372359412088643
BOOTDUG,53.44347699844329,-2.9941693476171563
ROTHHJN,53.42729513880733,-1.3802089148711083
GTHM,52.905999946184764,-0.6421676154286393
NORMPW,53.71329958637372,-1.408847861862675
ORRELL,53.53014645658302,-2.7091513574982953
GORD201,51.65954081607265,-0.09142967883902946
YORKHLJ,53.95355434188306,-1.099586657528652
STKGDRC,51.5136063243,-2.539206584307452
SHERBRN,50.94384848988336,-2.5132137207206373
BSCTBRS,52.56118541090365,-1.9884358779594615
WNDMLBJ,51.383160474183285,-0.08902452632712246
MAXWLPK,55.83762778034429,-4.288749818228305
LTCHMRJ,51.4710688053842,-0.1693557202358279
FITZWLM,53.63254536771575,-1.3745445724330467
DONCWDY,53.50902246078442,-1.1333556413162407
SOTOEWS,50.913315792348214,-1.4557118182186084
TUNSTDS,53.27637644911447,-1.8555456443537999
SHBRYMD,51.530556023484,0.796141165489741
MORFLDS,53.408650509581676,-2.989174796034895
FAREHAM,50.853683360797866,-1.1926225712014362
WORCMSD,52.19424882080333,-2.2089227362279678
STKYBJN,51.505945815248324,-0.44434577307595746
WATFJCS,51.659494432331215,-0.3909340319643151
FERYLD,53.72008500670802,-1.2730334616203627
QPRK,51.53399199766054,-0.20561817274274927
SNAITH,53.69318997407126,-1.0280490755258134
HATTCE,52.29528794251034,-1.6675351627700985
MRGMM,51.54478918727035,-3.743945038019924
PENMERE,50.1503028650921,-5.083148824342192
LNGLNDJ,54.317879166626625,-1.432977622132176
NBLYEWS,58.25884443626708,-3.941066575820828
BUXTNO1,53.263018037107265,-1.9092157425233816
RAMSUSW,51.34027415754301,1.40266509585942
PYLE,51.5253691615291,-3.6977502921281613
ARDRSTN,55.63976786496356,-4.8126796270327645
REDCARE,54.609113646455846,-1.0519857466458296
BRGH280,50.83219377318288,-0.14738789444593456
IMNGESL,53.638110646091484,-0.2160397115346572
KELNGLY,53.70393647294513,-1.197509582196494
BRLYWJN,53.690694707641796,-1.7494944931597902
NETHRTN,54.45615803580884,-3.565503873814052
HENLYIA,52.29100036611551,-1.7841839893218907
BHAMINT,52.4506504999871,-1.725004209759987
DUDLPT,52.52446096420845,-2.049331951569438
PROYGNS,51.53258919675264,-0.28067558713839263
ANSL,55.889849772180035,-4.32161885430137
BHAMINJ,52.454528911567955,-1.7305278725816062
BOOKHAM,51.28876517880782,-0.3841200646075821
WEYMTH,50.61673741196222,-2.4556774158414107
LTRSTNJ,51.94884754390926,-5.004643324338284
SLATEFD,55.92652084050189,-3.2439153058469663
STWTTMD,51.473083891627866,-0.1442346051910254
RATCFHH,52.86882402047976,-1.2626642377877901
WRENMG,53.00756463915322,-2.625932637222312
GRNGMOT,56.01696338577432,-3.6748817632218023
SHRBROK,53.204197555081045,-1.2026509748244092
JORDANH,55.882684294402395,-4.325076452230867
ALNGEJN,52.93257335419725,-0.6975017707013328
HUNTSX,53.36076671520845,-2.855381234730122
BLTCHFS,51.99594806493619,-0.7358516123680199
NEWANSH,53.07953574940859,-0.798065147926981
MSELBGH,55.9336016367646,-3.0728809617866055
GRNHJN,51.004128845115325,0.14725236736701416
STKWKSJ,52.299656153395546,-2.0806231552286034
RYDE32,50.73317285754372,-1.1596814877729964
WRUICE,51.571189161110496,-0.4420331623192354
GOLFSTR,56.497960802223666,-2.7200502237567563
CDNL567,55.85278069017724,-4.341280442606267
HNTRSLL,55.73972833976396,-4.869313142485952
AVONHAN,51.5188418003728,-2.694315815536991
AIRP,55.01980664631437,-1.6955225178460733
WORCSMB,52.18780985914344,-2.204840723981142
HNDSQHD,52.50549740956065,-1.9644949282888435
HNDSQHG,52.50549740956065,-1.9644949282888435
PSRN,52.830316750416074,-4.111205596449529
HNDSQHA,52.50549740956065,-1.9644949282888435
PBROCTY,52.57694539084533,-0.2536841564659783
QNTRLDW,50.404181592890254,-5.029062462825219
LLDEILO,51.88508213963832,-3.9868637188636136
GLGQHL,55.86315607112403,-4.251048431947109
NTHMRCL,50.91304409482296,-1.3915347413104404
GTHMNBJ,52.91510556875385,-0.6483672012339761
BRWHBWJ,54.959256272995226,-1.4636683653145466
LUTONNJ,51.88361794547242,-0.42021267075056906
WBTNEJ,53.36679975170852,-0.8042585874107971
PNYF,53.14261118574651,-3.0548115709562276
KNTN417,53.705833885350756,-1.2518281052648281
BLTCSOF,51.992878919084845,-0.7355593587266591
SILVRCL,53.01752113806916,-2.2724635029008335
TAUNE22,51.02485205253489,-3.123952875242011
BRDS,52.47182571390788,-1.8771210302045154
DURSLEY,51.71761685555527,-2.3591984570464772
CRAVENA,52.4421048642615,-2.8375166307995814
GTHMISU,52.90442046290893,-0.641622247385411
WLTNMAR,54.58863217391892,-1.1260756361823123
CREWEDL,53.07891402636177,-2.426382671695915
GLNGDEP,51.38633431260314,0.5599418907103477
THBGJN,53.46289700742294,-1.3077533790647695
BMFRLNJ,53.519520076749636,-2.6101543404401606
SOTDFLT,50.90805518001668,-1.4386062032494225
MDLSBDR,54.57914257541636,-1.2350723602264977
KGPK,55.819492067843875,-4.246290530336817
CORB24,52.584311128982215,-0.6586833737590526
WORCHER,52.19278466444301,-2.2081990405105762
BARWHVN,53.69750356895496,-0.39254303298540716
LARAST,50.3804972047491,-4.105392021022035
KRBYSUM,53.104849290006214,-1.251122184373106
TINSLYY,53.400863636045706,-1.3845033952873391
MCHYGLA,52.55329362210499,-3.9296870070652883
LESTLIP,52.63434705745052,-1.1194544333572425
THETFD,52.41914822170443,0.7451627752637341
HENXRDS,50.98315325427229,-2.3929433282168215
BYREHJ,55.64332444184846,-4.701691837791171
OPOL,53.28406587795106,-2.9249459833917277
SABR,53.66304049524859,-1.4813593136136982
BDLNTNS,55.13692339376308,-1.5653815369878792
GRVPDCE,51.442800000530134,0.009387956640695331
HINTONA,50.7525296689166,-1.7138295132187842
TRMRWKS,51.47782656073864,-3.139748687634131
GIDB,53.47454529224845,-2.1132433047334045
WSHWHEJ,52.50463894399155,-1.8329358496261414
LLANMAI,51.50846155855836,-3.2288146610052677
ESTSOMJ,51.16496865737313,-2.370045748830832
GRNBURN,55.395004558600554,-4.2070806659840985
BLAYDON,54.96593110089278,-1.7126890190782917
